,red,farred,ratio_Neuron,Neuron,l_distance,X,Y,normx,normy,fish_Neuron
5,101.25,114.25,0.34530196725821977,5,65.45171188735321,117.0,173.5,-65.0,10.0,26_11_2024/fish3p2_5
10,97.667,106.152,0.3445942644057092,10,5.945509404855599,158.53,152.924,10.363,8.091000000000008,26_11_2024/fish4_plane2_10
5,112.95,135.95,0.34361109151203006,5,4.4705968126360585,176.775,179.2,5.942000000000007,26.69999999999999,26_11_2024/fish7p2_5
1,94.806,102.032,0.3429617538575306,1,56.34055362149251,118.952,120.081,-28.048000000000002,-12.918999999999997,27_11_2024/fish3p1_1
22,92.71,102.645,0.34134744774378767,22,72.24874871976094,80.5,140.5,-62.5,-6.5,27_11_2024/fish7p1_22
12,94.389,100.194,0.34119146069390366,12,6.941258051778764,100.0,179.0,-30.5,42.0,27_11_2024/fish7p2_12
13,99.297,112.027,0.34058874129507183,13,4.128554074589908,133.932,147.851,-21.068000000000012,36.351,27_11_2024/fish5p1_13
1,95.55,108.65,0.3386809269162211,1,6.400440252611146,180.75,130.75,37.75,-16.25,27_11_2024/fish7p1_1
3,107.517,127.655,0.3375458100355757,3,0.11416769806029708,157.328,166.603,7.828000000000003,19.77000000000001,26_11_2024/fish7p1_3
11,104.487,122.385,0.33735141960022075,11,8.983041036637124,139.141,178.603,-7.859000000000009,45.60300000000001,27_11_2024/fish3p1_11
0,97.722,108.111,0.326519680935767,0,37.79756475040014,129.5,123.0,-24.333,-4.832999999999998,27_11_2024/fish6p1_0
5,96.633,106.45,0.3218902523145299,5,3.9666410871229982,151.85,183.767,2.3499999999999943,36.934,26_11_2024/fish7p1_5
13,89.412,90.471,0.32029036263491345,13,15.496193565401128,129.5,140.0,-1.0,3.0,27_11_2024/fish7p2_13
6,105.714,125.4,0.31705978346957037,6,35.45349243525459,131.271,146.157,-26.896000000000015,11.990000000000009,26_11_2024/fish9_6
21,90.794,94.618,0.3153606630299913,21,35.10522639364305,139.0,142.5,-25.167,2.3329999999999984,26_11_2024/fish4_plane1_21
4,97.571,111.0,0.31463765052582565,4,69.9143455535251,109.881,79.738,-45.119,-31.762,27_11_2024/fish5p1_4
5,112.686,119.057,0.31077742750216625,5,30.459212824598893,162.243,127.957,-13.257000000000005,-2.0430000000000064,26_11_2024/fish5p1_5
5,95.926,103.852,0.310251760989998,5,23.571940525089662,151.722,142.463,-6.444999999999993,8.295999999999992,26_11_2024/fish9_5
9,106.583,105.0,0.3096285547731779,9,3.9405107014280696,181.5,163.0,6.0,33.0,26_11_2024/fish5p1_9
30,88.69,92.238,0.3037869330004159,30,9.470882078300262,224.5,94.0,52.5,-56.0,27_11_2024/fish3p2_30
2,105.567,132.2,0.2992613076934419,2,68.58393490071919,120.9,71.0,-34.099999999999994,-40.5,27_11_2024/fish5p1_2
24,91.278,94.639,0.29745588487236646,24,18.99863778495502,104.0,214.0,-44.167,69.167,26_11_2024/fish4_plane2_24
13,92.0,100.769,0.29381911426892454,13,37.383499456417056,118.833,205.603,-53.167,55.60300000000001,27_11_2024/fish3p2_13
10,97.667,111.667,0.29364089163089074,10,4.929147198598713,174.796,196.315,-7.204000000000008,32.815,26_11_2024/fish3p2_10
13,90.844,92.688,0.29114121127199116,13,2.2789157565283267,184.0,154.0,13.167000000000002,1.5,26_11_2024/fish7p2_13
9,116.971,163.4,0.28946215704963424,9,24.59639049642812,127.329,125.814,-27.671000000000006,14.313999999999993,27_11_2024/fish5p1_9
12,110.297,116.541,0.2865346529540413,12,1.2742078048582302,163.419,183.365,-12.080999999999989,53.36500000000001,26_11_2024/fish5p1_12
2,95.13,105.304,0.2858921346316301,2,8.000789338307962,153.5,140.674,-0.3329999999999984,12.841000000000008,27_11_2024/fish6p1_2
4,97.632,111.763,0.28376287218241375,4,8.180101635483826,196.316,89.658,48.149,-55.175,26_11_2024/fish4_plane2_4
9,90.75,94.0,0.2829537612146303,9,43.69669803467735,123.0,122.0,-30.833,-5.832999999999998,27_11_2024/fish6p1_9
10,111.0,149.633,0.2821476414591063,10,3.3857355516224454,155.582,162.01,8.581999999999994,29.00999999999999,27_11_2024/fish3p1_10
15,93.159,101.205,0.27837259100642425,15,21.585386777281865,171.0,172.5,-11.0,9.0,26_11_2024/fish3p2_15
8,104.588,131.382,0.27834032921522306,8,3.0990841191868284,168.0,128.5,14.167000000000002,0.6670000000000016,27_11_2024/fish6p1_8
14,93.316,109.368,0.2779206018455879,14,6.372572999774742,137.342,176.342,-5.657999999999987,29.342000000000013,27_11_2024/fish7p1_14
2,102.534,127.776,0.2718841078557186,2,5.928912511608765,163.448,168.138,13.948000000000008,21.305000000000007,26_11_2024/fish7p1_2
4,98.903,117.419,0.2684879886952426,4,6.038546993237683,136.629,168.21,-17.204000000000008,40.37700000000001,27_11_2024/fish6p1_4
8,102.429,130.5,0.26769363066453633,8,2.6975333700549267,164.179,120.786,9.179000000000002,9.286000000000001,27_11_2024/fish5p1_8
7,112.73,160.324,0.26597358044576463,7,3.7199940000938585,175.608,108.392,20.608000000000004,-3.108000000000004,27_11_2024/fish5p1_7
1,96.853,110.794,0.26433538212204977,1,2.0512062155512094,192.5,148.235,21.667,-4.264999999999986,26_11_2024/fish7p2_1
12,92.471,98.206,0.26351438743626615,12,1.2539958356027237,198.0,137.5,27.167,-15.0,26_11_2024/fish7p2_12
11,100.282,131.359,0.2625607891696701,11,28.355662213266683,108.756,174.474,-34.244,27.47399999999999,27_11_2024/fish7p1_11
