,X,Y,theta,radius,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
46,120.5,93.0,4.126110513059739,80.43164800002546,-67.0,-44.5,118.893,129.143,0.4364564227949176,46,fish7p2_46
70,83.406,138.0,3.404957422925592,84.5078744023301,-22.0,-81.594,129.219,145.344,0.42801400616009727,70,fish7p2_70
79,67.986,151.473,3.229261886117797,97.38801735839989,-8.526999999999987,-97.014,112.811,121.838,0.4275454325517989,79,fish7p2_79
142,126.5,87.0,4.227064550421189,82.53029746705145,-73.0,-38.5,106.114,112.318,0.42633262415836204,142,fish7p2_142
62,103.859,122.474,3.692069598580697,71.7385709155124,-37.525999999999996,-61.141000000000005,125.154,140.385,0.42364945366210965,62,fish7p2_62
45,81.586,92.329,3.8231658743363144,107.41163641337936,-67.671,-83.414,105.571,111.943,0.4219867767033263,45,fish7p2_45
152,33.5,189.5,2.9209116379964857,134.76831971943554,29.5,-131.5,95.286,96.857,0.42118127299299535,152,fish7p2_152
105,68.233,205.267,2.7040403503771437,106.83142598505366,45.266999999999996,-96.767,126.833,143.633,0.419945805649437,105,fish7p2_105
100,86.083,190.889,2.7685122459453235,84.74681828835818,30.88900000000001,-78.917,110.778,119.861,0.4198692949043188,100,fish7p2_100
92,62.208,176.5,2.982432042026879,104.10785399766917,16.5,-102.792,109.083,118.708,0.40849415767399844,92,fish7p2_92
96,69.206,184.0,2.89610806677778,98.75469829835946,24.0,-95.794,116.529,131.088,0.40345775531931805,96,fish7p2_96
44,69.0,92.0,3.7578895909858643,117.64352935882194,-68.0,-96.0,108.143,118.25,0.40015397625243926,44,fish7p2_44
56,80.591,106.045,3.710344554285788,100.1799446296513,-53.955,-84.409,110.788,122.788,0.3979396382888668,56,fish7p2_56
103,81.919,199.965,2.6932305461943464,92.19356694477116,39.965,-83.081,111.0,123.279,0.3968886762699553,103,fish7p2_103
134,69.0,210.0,2.6614176239862664,108.24047302187847,50.0,-96.0,109.25,120.6,0.39570757880617047,134,fish7p2_134
153,35.5,198.5,2.852617243597227,135.10181345933148,38.5,-129.5,94.323,96.387,0.39366612325195866,153,fish7p2_153
88,61.6,167.533,3.0688681371536846,103.6740376806074,7.532999999999987,-103.4,114.267,129.233,0.3928624453379823,88,fish7p2_88
59,78.9,120.056,3.575966630293495,94.91434631287305,-39.944,-86.1,109.467,121.556,0.3912344875816283,59,fish7p2_59
57,90.14,106.26,3.764213716517045,92.15208733392858,-53.739999999999995,-74.86,109.2,121.36,0.3894139886578451,57,fish7p2_57
125,99.5,82.5,4.010710752514784,101.47167092346514,-77.5,-65.5,100.29,106.581,0.38834628928310433,125,fish7p2_125
76,87.603,148.5,3.2890980314210196,78.24669711240213,-11.5,-77.397,122.276,143.828,0.3864745387691022,76,fish7p2_76
34,121.967,77.967,4.229270054250168,92.63504832405498,-82.033,-43.033,108.6,121.0,0.38461538461538464,34,fish7p2_34
97,63.685,187.204,2.8792709331666737,104.90370270395607,27.204000000000008,-101.315,111.222,125.963,0.3813373610146521,97,fish7p2_97
83,69.062,161.344,3.12758452241317,95.9474136180856,1.343999999999994,-95.938,121.312,143.562,0.3803597092187696,83,fish7p2_83
74,81.768,147.646,3.2889453179738757,84.14384790345638,-12.354000000000013,-83.232,127.317,153.976,0.38024460500897156,74,fish7p2_74
87,70.208,166.708,3.070944959768213,95.029050968638,6.707999999999998,-94.792,111.875,129.083,0.36926567296784896,87,fish7p2_87
43,140.259,89.672,4.374116438164931,74.55296550104497,-70.328,-24.741000000000014,106.759,120.138,0.36698860777145215,43,fish7p2_43
98,58.5,190.0,2.8670173721501677,110.64470163546017,30.0,-106.5,102.133,112.7,0.3572625971166615,98,fish7p2_98
106,61.192,207.526,2.71224972594677,114.17014294464205,47.52600000000001,-103.80799999999999,113.359,134.385,0.35538503274813016,106,fish7p2_106
111,77.887,216.435,2.56673969732865,103.79587657513183,56.435,-87.113,111.742,131.677,0.3532870873584838,111,fish7p2_111
94,78.306,182.887,2.8834838663949585,89.66417570579681,22.887,-86.694,123.194,154.323,0.351359366874675,94,fish7p2_94
41,119.078,86.522,4.153806791806099,86.64783071721992,-73.478,-45.922,110.4,129.733,0.34962231167706453,41,fish7p2_41
149,106.5,78.0,4.092716528382832,100.72859574122931,-82.0,-58.5,94.324,98.618,0.34133193397576594,149,fish7p2_149
71,92.133,138.133,3.43313632018036,76.07736442595787,-21.86699999999999,-72.867,123.067,158.133,0.3374046653412077,71,fish7p2_71
67,87.244,134.218,3.461760503266666,81.91890538819473,-25.78200000000001,-77.756,125.179,164.641,0.3308457418952788,67,fish7p2_67
102,73.375,195.833,2.7687967114366794,98.38264335745406,35.833,-91.625,105.458,122.958,0.32970729627499995,102,fish7p2_102
112,83.433,218.033,2.5232058256195184,100.10496779880606,58.03299999999999,-81.567,107.967,128.4,0.3292011089523596,112,fish7p2_112
104,56.879,203.293,2.760730722921011,116.46645220835055,43.293000000000006,-108.12100000000001,103.448,119.138,0.3263210640598489,104,fish7p2_104
22,160.824,68.635,4.666713988879398,91.46038596572835,-91.365,-4.175999999999988,107.486,128.243,0.3242766189792654,22,fish7p2_22
91,53.395,176.079,2.998506607505145,112.75730692952895,16.079000000000008,-111.60499999999999,100.842,113.737,0.3242501615688602,91,fish7p2_91
124,132.5,66.5,4.377859568910161,98.98737293210685,-93.5,-32.5,104.405,122.73,0.31638791300083086,124,fish7p2_124
107,55.0,209.0,2.722525153889973,120.42009799032718,49.0,-110.0,107.562,130.531,0.3129208143004251,107,fish7p2_107
130,37.5,222.5,2.6858188976130877,141.99471821162928,62.5,-127.5,93.412,98.804,0.29823735032352483,130,fish7p2_130
54,123.555,103.573,4.078889166486595,70.01210148252943,-56.42700000000001,-41.44499999999999,114.327,151.036,0.2950672265148761,54,fish7p2_54
30,157.155,74.328,4.621073467365611,86.0304342020892,-85.672,-7.844999999999999,105.207,128.414,0.294657764419281,30,fish7p2_30
14,156.814,63.1,4.628110246061972,97.24515718533237,-96.9,-8.186000000000007,107.057,133.371,0.2930505872284753,14,fish7p2_14
84,33.477,164.5,3.1073914471135646,131.59996021655934,4.5,-131.523,96.535,107.837,0.28361062959057853,84,fish7p2_84
93,62.833,181.917,2.930274066391982,104.49139092767403,21.917,-102.167,105.083,131.778,0.2765014837442358,93,fish7p2_93
133,61.0,230.5,2.54586393446154,125.64334443176845,70.5,-104.0,93.462,100.885,0.2662533952510298,133,fish7p2_133
